Género;Fecha de nacimiento;Nivel de Educación;Nacionalidad;Pais de residencia;Proceso;FIT;Estado Proceso;Carrera 1;Institucion 1;Nivel de estudio;Estado de carrera;Área de estudio;Carrera 2;Institución 2;Nivel de estudio 2;Estado de carrera 2;Area de estudio 2
F;1994-12-09;Postgrado;perú;perú;Analista de Alianzas Senior - PE;81;Proceso Activo;Administracion;Universidad Nacional Mayor de San Marcos;Pregrado;Titulado/Titulada;Administración;Especialización en Marketing Estratégico;Universidad del Pacifico;Postgrado;Egresado/Egresada;Marketing
F;1990-04-02;Universitaria;perú;perú;Analista de Alianzas Senior - PE;86;Proceso Activo;Publicidad;Pontificia Universidad Católica del Perú;Pregrado;Egresado/Egresada;Marketing;Gestión de Marketing;Pontificia Universidad Católica del Perú;Postgrado;Egresado/Egresada;Marketing
M;1986-02-03;Postgrado;perú;perú;Analista de Alianzas Senior - PE;82;Proceso Activo;Marketing Y Gestion Comercial;ESAN;Postgrado;Egresado/Egresada;Comercio;Ingenieria Informatica;Universidad San Martin de Porres;Pregrado;Egresado/Egresada;Computación e Informática
F;1995-05-06;Universitaria;perú;perú;Analista de Alianzas Senior - PE;83;Proceso Activo;comunicación y marketing;Universidad de Lima;Pregrado;Titulado/Titulada;Marketing;;;;;
F;1996-10-20;Universitaria;perú;perú;Analista de Alianzas Senior - PE;80;Proceso Activo;Administracion;usil;Pregrado;Egresado/Egresada;Administración;;;;;
F;1981-02-24;Técnico profesional superior;perú;perú;Analista de Alianzas Senior - PE;80;Proceso Activo;Diseño Grafico;ISIL;Educación Técnico Profesional;Egresado/Egresada;Diseño;;;;;
F;1988-01-23;Universitaria;chile;Chile;Analista Compras;84;Proceso Inactivo;Ingeniera Comercial;"Universidad ""Arturo Prat""";Pregrado;Egresado/Egresada;Administración;Administracion;"Universidad ""Arturo Prat""";Educación Técnico Profesional;Egresado/Egresada;Administración
F;1998-10-22;Magister;chile;chile;Analista Compras;88;Proceso Inactivo;Ingeniera Comercial;Universidad Adolfo Ibáñez;Pregrado;Titulado/Titulada;Administración;Master in International Management;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Administración
F;1997-01-07;Universitaria;chile;chile;Analista Compras;77;Proceso Inactivo;Ingenieria Comercial;Universidad Santo Tomás;Pregrado;Titulado/Titulada;Administración;;;;;
M;1993-04-19;Universitaria;chile;chile;Analista Compras;97;Proceso Inactivo;Ingenieria Industrial;Universidad San Sebastian;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1996-09-18;Universitaria;chile;chile;Analista Compras;95;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Mayor;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1991-02-25;Postgrado;perú;perú;Analista Compras;94;Proceso Inactivo;Logistica;Universidad Nacional de Ingenieria;Postgrado;Egresado/Egresada;Comercio;Logistica;Universidad Peruana de Ciencias Aplicadas;Postgrado;Egresado/Egresada;Comercio
M;1999-11-08;Universitaria;colombia;chile;Analista Compras;78;Proceso Inactivo;Contador Auditor-Contador Publico;Corporación Universitaria de Ibagué (CORUNIVERSITARIA);Postgrado;Titulado/Titulada;Contabilidad;;;;;
M;1982-11-05;Universitaria;chile;Chile;Analista Compras;82;Proceso Inactivo;Ingenieria En Ejecucion En Administracion;Aiep;Educación Técnico Profesional;Titulado/Titulada;Administración;Plan Especial Ingenieria Civil Industrial;Unab;Postgrado;En curso;Industrial
